Country,Population,Yearly Change,Net Change,Density,World Share
Kuwait,5102773,1.53%,"76,695",286,"17,820"
Panama,4625718,1.19%,"54,529",62,"74,340"
Croatia,3822345,-0.67%,"-25,815",68,"55,960"
Georgia,3804642,-0.05%,"-2,029",55,"69,490"
Eritrea,3682669,2.1%,"75,666",36,"101,000"
Mongolia,3556798,1.13%,"39,698",2,"1,553,560"
Uruguay,3382537,-0.06%,"-2,151",19,"175,020"
Puerto Rico,3222688,-0.39%,"-12,601",363,"8,870"
Qatar,3173559,1.85%,"57,670",273,"11,610"
Namibia,3153246,1.95%,"60,430",4,"823,290"
Bosnia and Herzegovina,3114242,-0.82%,"-25,853",61,"51,000"
Moldova,2961253,-1.16%,"-34,853",90,"32,850"
Armenia,2930915,-0.73%,"-21,450",103,"28,470"
Gambia,2884079,2.2%,"61,986",285,"10,120"
Jamaica,2833403,-0.13%,"-3,674",262,"10,830"
Lithuania,2797338,-1.16%,"-32,806",45,"62,674"
Albania,2751025,-0.74%,"-20,483",100,"27,400"
Gabon,2647399,2.09%,"54,269",10,"257,670"
Botswana,2603388,1.61%,"41,266",5,"566,730"
Lesotho,2389336,1.1%,"26,011",79,"30,360"
Guinea-Bissau,2297808,2.15%,"48,293",82,"28,120"
Slovenia,2114573,-0.12%,"-2,499",105,"20,140"
Equatorial Guinea,1984468,2.37%,"46,037",71,"28,050"
Latvia,1835935,-0.95%,"-17,624",30,"62,200"
North Macedonia,1804063,-0.54%,"-9,728",72,"25,220"
Bahrain,1675572,1.96%,"32,240",2205,760
Trinidad and Tobago,1513268,0.14%,"2,113",295,"5,130"
Timor-Leste,1436923,1.3%,"18,406",97,"14,870"
Cyprus,1382334,0.84%,"11,580",150,"9,240"
Estonia,1331062,-0.98%,"-13,170",31,"42,390"
Eswatini,1269859,1.09%,"13,685",74,"17,200"
Mauritius,1265059,-0.25%,"-3,221",623,"2,030"
Djibouti,1199459,1.3%,"15,383",52,"23,180"
Fiji,937282,0.44%,"4,128",51,"18,270"
Comoros,899010,1.83%,"16,163",483,"1,861"
R̩union,886298,0.44%,"3,893",355,"2,500"
Solomon Islands,858288,2.34%,"19,643",31,"27,990"
Guyana,840890,0.59%,"4,904",4,"196,850"
Bhutan,802214,0.69%,"5,532",21,"38,117"
Macao,723188,0.16%,"1,181",24106,30
Luxembourg,687448,1.03%,"6,995",265,"2,590"
Suriname,645256,0.84%,"5,406",4,"156,000"
Montenegro,626233,-1.03%,"-6,496",47,"13,450"
Western Sahara,610813,1.65%,"9,909",2,"266,000"
Malta,549011,0.66%,"3,606",1716,320
Maldives,531517,0.35%,"1,841",1772,300
Cabo Verde,529630,0.44%,"2,304",131,"4,030"
Brunei,469775,0.74%,"3,445",89,"5,270"
Belize,428644,1.35%,"5,720",19,"22,810"
Bahamas,404628,0.4%,"1,595",40,"10,010"
Iceland,402329,1.02%,"4,063",4,"100,250"
Guadeloupe,372453,-0.36%,"-1,338",220,"1,690"
Mayotte,347536,3.12%,"10,525",927,375
Vanuatu,342564,2.21%,"7,395",28,"12,190"
Martinique,337711,-0.8%,"-2,728",319,"1,060"
French Guiana,318872,1.66%,"5,206",4,"82,200"
New Caledonia,297892,0.87%,"2,559",16,"18,280"
French Polynesia,283076,0.22%,611,77,"3,660"
Barbados,282724,0.04%,101,657,430
Sao Tome & Principe,244994,1.97%,"4,740",255,960
Samoa,220528,0.56%,"1,222",78,"2,830"
Cura̤ao,185440,-0.03%,-47,418,444
Saint Lucia,180488,0.19%,339,296,610
Guam,170185,0.7%,"1,186",315,540
Kiribati,138445,1.43%,"1,957",171,810
Seychelles,134959,1.64%,"2,180",293,460
Grenada,117362,0.05%,59,345,340
Micronesia,114183,0.44%,500,163,700
Aruba,108164,0.02%,17,601,180
Tonga,103291,-0.43%,-451,143,720
St. Vincent & Grenadines,99245,-0.68%,-679,254,390
Antigua and Barbuda,94626,0.44%,417,215,440
Isle of Man,84055,-0.07%,-63,147,570
Andorra,83753,1.02%,849,178,470
U.S. Virgin Islands,83400,-0.88%,-738,238,350
Cayman Islands,77196,1.78%,"1,352",322,240
Dominica,65511,-0.55%,-360,87,750
Bermuda,64459,-0.15%,-96,1289,50
Faeroe Islands,56526,0.94%,524,40,"1,396"
Greenland,55629,-0.21%,-116,0,"410,450"
Turks and Caicos,47148,0.63%,293,50,950
Saint Kitts & Nevis,46992,0.15%,70,181,260
American Samoa,45319,-1.54%,-710,227,200
Sint Maarten,44447,1.19%,524,1307,34
Northern Mariana Islands,42914,-1.44%,-627,93,460
Gibraltar,40867,1.85%,741,4087,10
Liechtenstein,40368,0.6%,240,252,160
British Virgin Islands,39936,0.51%,204,266,150
Monaco,38087,-0.66%,-254,25562,1
Marshall Islands,35075,-3.33%,"-1,207",195,180
San Marino,33605,0.1%,33,560,60
Caribbean Netherlands,31913,1.83%,575,97,328
Saint Martin,23898,-4.18%,"-1,043",451,53
Palau,17614,-0.28%,-49,38,460
Anguilla,14817,0.6%,89,165,90
Cook Islands,12826,-3.29%,-437,53,240
Nauru,12101,0.63%,76,605,20
Saint Barthelemy,11550,1.19%,136,550,21
Wallis & Futuna,11113,-0.72%,-81,79,140
Tuvalu,9362,-1.37%,-130,312,30
Saint Pierre & Miquelon,5513,-1.09%,-61,24,230
Saint Helena,5147,-0.96%,-50,13,390
Montserrat,4328,-0.71%,-31,43,100
Falkland Islands,3465,-0.12%,-4,0,"12,170"
Tokelau,2691,3.18%,83,269,10
Niue,1822,0.05%,1,7,260
Holy See,506,1%,5,1265,0
